RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
29.00,"15,728,693.00",McWilliams,574.00,Germany,Female,43.00,3.00,"141,349.43",1.00,1.00,1.00,"100,187.43",0.00
30.00,"15,656,300.00",Lucciano,411.00,France,Male,29.00,0.00,"59,697.17",2.00,1.00,1.00,"53,483.21",0.00
31.00,"15,589,475.00",Azikiwe,591.00,Spain,Female,39.00,3.00,0.00,3.00,1.00,0.00,"140,469.38",1.00
32.00,"15,706,552.00",Odinakachukwu,533.00,France,Male,36.00,7.00,"85,311.70",1.00,0.00,1.00,"156,731.91",0.00
33.00,"15,750,181.00",Sanderson,553.00,Germany,Male,41.00,9.00,"110,112.54",2.00,0.00,0.00,"81,898.81",0.00
34.00,"15,659,428.00",Maggard,520.00,Spain,Female,42.00,6.00,0.00,2.00,1.00,1.00,"34,410.55",0.00
35.00,"15,732,963.00",Clements,722.00,Spain,Female,29.00,9.00,0.00,2.00,1.00,1.00,"142,033.07",0.00
36.00,"15,794,171.00",Lombardo,475.00,France,Female,45.00,0.00,"134,264.04",1.00,1.00,0.00,"27,822.99",1.00
37.00,"15,788,448.00",Watson,490.00,Spain,Male,31.00,3.00,"145,260.23",1.00,0.00,1.00,"114,066.77",0.00
38.00,"15,729,599.00",Lorenzo,804.00,Spain,Male,33.00,7.00,"76,548.60",1.00,0.00,1.00,"98,453.45",0.00
39.00,"15,717,426.00",Armstrong,850.00,France,Male,36.00,7.00,0.00,1.00,1.00,1.00,"40,812.90",0.00
40.00,"15,585,768.00",Cameron,582.00,Germany,Male,41.00,6.00,"70,349.48",2.00,0.00,1.00,"178,074.04",0.00
41.00,"15,619,360.00",Hsiao,472.00,Spain,Male,40.00,4.00,0.00,1.00,1.00,0.00,"70,154.22",0.00
42.00,"15,738,148.00",Clarke,465.00,France,Female,51.00,8.00,"122,522.32",1.00,0.00,0.00,"181,297.65",1.00
43.00,"15,687,946.00",Osborne,556.00,France,Female,61.00,2.00,"117,419.35",1.00,1.00,1.00,"94,153.83",0.00
44.00,"15,755,196.00",Lavine,834.00,France,Female,49.00,2.00,"131,394.56",1.00,0.00,0.00,"194,365.76",1.00
45.00,"15,684,171.00",Bianchi,660.00,Spain,Female,61.00,5.00,"155,931.11",1.00,1.00,1.00,"158,338.39",0.00
46.00,"15,754,849.00",Tyler,776.00,Germany,Female,32.00,4.00,"109,421.13",2.00,1.00,1.00,"126,517.46",0.00
47.00,"15,602,280.00",Martin,829.00,Germany,Female,27.00,9.00,"112,045.67",1.00,1.00,1.00,"119,708.21",1.00
48.00,"15,771,573.00",Okagbue,637.00,Germany,Female,39.00,9.00,"137,843.80",1.00,1.00,1.00,"117,622.80",1.00
49.00,"15,766,205.00",Yin,550.00,Germany,Male,38.00,2.00,"103,391.38",1.00,0.00,1.00,"90,878.13",0.00
50.00,"15,771,873.00",Buccho,776.00,Germany,Female,37.00,2.00,"103,769.22",2.00,1.00,0.00,"194,099.12",0.00
51.00,"15,616,550.00",Chidiebele,698.00,Germany,Male,44.00,10.00,"116,363.37",2.00,1.00,0.00,"198,059.16",0.00
52.00,"15,768,193.00",Trevisani,585.00,Germany,Male,36.00,5.00,"146,050.97",2.00,0.00,0.00,"86,424.57",0.00
53.00,"15,683,553.00",O'Brien,788.00,France,Female,33.00,5.00,0.00,2.00,0.00,0.00,"116,978.19",0.00
54.00,"15,702,298.00",Parkhill,655.00,Germany,Male,41.00,8.00,"125,561.97",1.00,0.00,0.00,"164,040.94",1.00
55.00,"15,569,590.00",Yoo,601.00,Germany,Male,42.00,1.00,"98,495.72",1.00,1.00,0.00,"40,014.76",1.00
56.00,"15,760,861.00",Phillipps,619.00,France,Male,43.00,1.00,"125,211.92",1.00,1.00,1.00,"113,410.49",0.00
57.00,"15,630,053.00",Tsao,656.00,France,Male,45.00,5.00,"127,864.40",1.00,1.00,0.00,"87,107.57",0.00
58.00,"15,647,091.00",Endrizzi,725.00,Germany,Male,19.00,0.00,"75,888.20",1.00,0.00,0.00,"45,613.75",0.00
59.00,"15,623,944.00",T'ien,511.00,Spain,Female,66.00,4.00,0.00,1.00,1.00,0.00,"1,643.11",1.00
60.00,"15,804,771.00",Velazquez,614.00,France,Male,51.00,4.00,"40,685.92",1.00,1.00,1.00,"46,775.28",0.00
61.00,"15,651,280.00",Hunter,742.00,Germany,Male,35.00,5.00,"136,857.00",1.00,0.00,0.00,"84,509.57",0.00
62.00,"15,773,469.00",Clark,687.00,Germany,Female,27.00,9.00,"152,328.88",2.00,0.00,0.00,"126,494.82",0.00
63.00,"15,702,014.00",Jeffrey,555.00,Spain,Male,33.00,1.00,"56,084.69",2.00,0.00,0.00,"178,798.13",0.00
64.00,"15,751,208.00",Pirozzi,684.00,Spain,Male,56.00,8.00,"78,707.16",1.00,1.00,1.00,"99,398.36",0.00
65.00,"15,592,461.00",Jackson,603.00,Germany,Male,26.00,4.00,"109,166.37",1.00,1.00,1.00,"92,840.67",0.00
66.00,"15,789,484.00",Hammond,751.00,Germany,Female,36.00,6.00,"169,831.46",2.00,1.00,1.00,"27,758.36",0.00
67.00,"15,696,061.00",Brownless,581.00,Germany,Female,34.00,1.00,"101,633.04",1.00,1.00,0.00,"110,431.51",0.00
68.00,"15,641,582.00",Chibugo,735.00,Germany,Male,43.00,10.00,"123,180.01",2.00,1.00,1.00,"196,673.28",0.00
69.00,"15,638,424.00",Glauert,661.00,Germany,Female,35.00,5.00,"150,725.53",2.00,0.00,1.00,"113,656.85",0.00
70.00,"15,755,648.00",Pisano,675.00,France,Female,21.00,8.00,"98,373.26",1.00,1.00,0.00,"18,203.00",0.00
71.00,"15,703,793.00",Konovalova,738.00,Germany,Male,58.00,2.00,"133,745.44",4.00,1.00,0.00,"28,373.86",1.00
72.00,"15,620,344.00",McKee,813.00,France,Male,29.00,6.00,0.00,1.00,1.00,0.00,"33,953.87",0.00
73.00,"15,812,518.00",Palermo,657.00,Spain,Female,37.00,0.00,"163,607.18",1.00,0.00,1.00,"44,203.55",0.00
74.00,"15,779,052.00",Ballard,604.00,Germany,Female,25.00,5.00,"157,780.84",2.00,1.00,1.00,"58,426.81",0.00
75.00,"15,770,811.00",Wallace,519.00,France,Male,36.00,9.00,0.00,2.00,0.00,1.00,"145,562.40",0.00
76.00,"15,780,961.00",Cavenagh,735.00,France,Female,21.00,1.00,"178,718.19",2.00,1.00,0.00,"22,388.00",0.00
77.00,"15,614,049.00",Hu,664.00,France,Male,55.00,8.00,0.00,2.00,1.00,1.00,"139,161.64",0.00
78.00,"15,662,085.00",Read,678.00,France,Female,32.00,9.00,0.00,1.00,1.00,1.00,"148,210.64",0.00
79.00,"15,575,185.00",Bushell,757.00,Spain,Male,33.00,5.00,"77,253.22",1.00,0.00,1.00,"194,239.63",0.00
80.00,"15,803,136.00",Postle,416.00,Germany,Female,41.00,10.00,"122,189.66",2.00,1.00,0.00,"98,301.61",0.00
81.00,"15,706,021.00",Buley,665.00,France,Female,34.00,1.00,"96,645.54",2.00,0.00,0.00,"171,413.66",0.00
82.00,"15,663,706.00",Leonard,777.00,France,Female,32.00,2.00,0.00,1.00,1.00,0.00,"136,458.19",1.00
83.00,"15,641,732.00",Mills,543.00,France,Female,36.00,3.00,0.00,2.00,0.00,0.00,"26,019.59",0.00
84.00,"15,701,164.00",Onyeorulu,506.00,France,Female,34.00,4.00,"90,307.62",1.00,1.00,1.00,"159,235.29",0.00
85.00,"15,738,751.00",Beit,493.00,France,Female,46.00,4.00,0.00,2.00,1.00,0.00,"1,907.66",0.00
86.00,"15,805,254.00",Ndukaku,652.00,Spain,Female,75.00,10.00,0.00,2.00,1.00,1.00,"114,675.75",0.00
87.00,"15,762,418.00",Gant,750.00,Spain,Male,22.00,3.00,"121,681.82",1.00,1.00,0.00,"128,643.35",1.00
88.00,"15,625,759.00",Rowley,729.00,France,Male,30.00,9.00,0.00,2.00,1.00,0.00,"151,869.35",0.00
89.00,"15,622,897.00",Sharpe,646.00,France,Female,46.00,4.00,0.00,3.00,1.00,0.00,"93,251.42",1.00
90.00,"15,767,954.00",Osborne,635.00,Germany,Female,28.00,3.00,"81,623.67",2.00,1.00,1.00,"156,791.36",0.00
91.00,"15,757,535.00",Heap,647.00,Spain,Female,44.00,5.00,0.00,3.00,1.00,1.00,"174,205.22",1.00
92.00,"15,731,511.00",Ritchie,808.00,France,Male,45.00,7.00,"118,626.55",2.00,1.00,0.00,"147,132.46",0.00
93.00,"15,809,248.00",Cole,524.00,France,Female,36.00,10.00,0.00,2.00,1.00,0.00,"109,614.57",0.00
94.00,"15,640,635.00",Capon,769.00,France,Male,29.00,8.00,0.00,2.00,1.00,1.00,"172,290.61",0.00
95.00,"15,676,966.00",Capon,730.00,Spain,Male,42.00,4.00,0.00,2.00,0.00,1.00,"85,982.47",0.00
96.00,"15,699,461.00",Fiorentini,515.00,Spain,Male,35.00,10.00,"176,273.95",1.00,0.00,1.00,"121,277.78",0.00
97.00,"15,738,721.00",Graham,773.00,Spain,Male,41.00,9.00,"102,827.44",1.00,0.00,1.00,"64,595.25",0.00
98.00,"15,693,683.00",Yuille,814.00,Germany,Male,29.00,8.00,"97,086.40",2.00,1.00,1.00,"197,276.13",0.00
99.00,"15,604,348.00",Allard,710.00,Spain,Male,22.00,8.00,0.00,2.00,0.00,0.00,"99,645.04",0.00
100.00,"15,633,059.00",Fanucci,413.00,France,Male,34.00,9.00,0.00,2.00,0.00,0.00,"6,534.18",0.00
101.00,"15,808,582.00",Fu,665.00,France,Female,40.00,6.00,0.00,1.00,1.00,1.00,"161,848.03",0.00
102.00,"15,743,192.00",Hung,623.00,France,Female,44.00,6.00,0.00,2.00,0.00,0.00,"167,162.43",0.00
103.00,"15,580,146.00",Hung,738.00,France,Male,31.00,9.00,"82,674.15",1.00,1.00,0.00,"41,970.72",0.00
104.00,"15,776,605.00",Bradley,528.00,Spain,Male,36.00,7.00,0.00,2.00,1.00,0.00,"60,536.56",0.00
105.00,"15,804,919.00",Dunbabin,670.00,Spain,Female,65.00,1.00,0.00,1.00,1.00,1.00,"177,655.68",1.00
106.00,"15,613,854.00",Mauldon,622.00,Spain,Female,46.00,4.00,"107,073.27",2.00,1.00,1.00,"30,984.59",1.00
107.00,"15,599,195.00",Stiger,582.00,Germany,Male,32.00,1.00,"88,938.62",1.00,1.00,1.00,"10,054.53",0.00
108.00,"15,812,878.00",Parsons,785.00,Germany,Female,36.00,2.00,"99,806.85",1.00,0.00,1.00,"36,976.52",0.00
109.00,"15,602,312.00",Walkom,605.00,Spain,Male,33.00,5.00,"150,092.80",1.00,0.00,0.00,"71,862.79",0.00
110.00,"15,744,689.00",T'ang,479.00,Germany,Male,35.00,9.00,"92,833.89",1.00,1.00,0.00,"99,449.86",1.00
111.00,"15,803,526.00",Eremenko,685.00,Germany,Male,30.00,3.00,"90,536.81",1.00,0.00,1.00,"63,082.88",0.00
112.00,"15,665,790.00",Rowntree,538.00,Germany,Male,39.00,7.00,"108,055.10",2.00,1.00,0.00,"27,231.26",0.00
113.00,"15,715,951.00",Thorpe,562.00,France,Male,42.00,2.00,"100,238.35",1.00,0.00,0.00,"86,797.41",0.00
114.00,"15,591,100.00",Chiemela,675.00,Spain,Male,36.00,9.00,"106,190.55",1.00,0.00,1.00,"22,994.32",0.00
115.00,"15,609,618.00",Fanucci,721.00,Germany,Male,28.00,9.00,"154,475.54",2.00,0.00,1.00,"101,300.94",1.00
116.00,"15,675,522.00",Ko,628.00,Germany,Female,30.00,9.00,"132,351.29",2.00,1.00,1.00,"74,169.13",0.00
117.00,"15,705,512.00",Welch,668.00,Germany,Female,37.00,6.00,"167,864.40",1.00,1.00,0.00,"115,638.29",0.00
118.00,"15,698,028.00",Duncan,506.00,France,Female,41.00,1.00,0.00,2.00,1.00,0.00,"31,766.30",0.00
119.00,"15,661,670.00",Chidozie,524.00,Germany,Female,31.00,8.00,"107,818.63",1.00,1.00,0.00,"199,725.39",1.00
120.00,"15,600,781.00",Wu,699.00,Germany,Male,34.00,4.00,"185,173.81",2.00,1.00,0.00,"120,834.48",0.00
121.00,"15,682,472.00",Culbreth,828.00,France,Male,34.00,8.00,"129,433.34",2.00,0.00,0.00,"38,131.77",0.00
122.00,"15,580,203.00",Kennedy,674.00,Spain,Male,39.00,6.00,"120,193.42",1.00,0.00,0.00,"100,130.95",0.00
123.00,"15,690,673.00",Cameron,656.00,France,Female,39.00,6.00,0.00,2.00,1.00,0.00,"141,069.88",0.00
124.00,"15,760,085.00",Calabresi,684.00,Germany,Female,48.00,10.00,"126,384.42",1.00,1.00,1.00,"198,129.36",0.00
125.00,"15,779,659.00",Zetticci,625.00,France,Female,28.00,3.00,0.00,1.00,0.00,0.00,"183,646.41",0.00
126.00,"15,627,360.00",Fuller,432.00,France,Male,42.00,9.00,"152,603.45",1.00,1.00,0.00,"110,265.24",1.00
127.00,"15,671,137.00",MacDonald,549.00,France,Female,52.00,1.00,0.00,1.00,0.00,1.00,"8,636.05",1.00
128.00,"15,782,688.00",Piccio,625.00,Germany,Male,56.00,0.00,"148,507.24",1.00,1.00,0.00,"46,824.08",1.00
129.00,"15,575,492.00",Kennedy,828.00,France,Female,41.00,7.00,0.00,2.00,1.00,0.00,"171,378.77",0.00
130.00,"15,591,607.00",Fernie,770.00,France,Male,24.00,9.00,"101,827.07",1.00,1.00,0.00,"167,256.35",0.00
131.00,"15,740,404.00",He,758.00,France,Female,34.00,3.00,0.00,2.00,1.00,1.00,"124,226.16",0.00
132.00,"15,718,369.00",Kaodilinakachukwu,795.00,Germany,Female,33.00,9.00,"130,862.43",1.00,1.00,1.00,"114,935.21",0.00
133.00,"15,677,871.00",Cocci,687.00,France,Male,38.00,9.00,"122,570.87",1.00,1.00,1.00,"35,608.88",0.00
134.00,"15,642,004.00",Alekseeva,686.00,France,Male,25.00,1.00,0.00,2.00,0.00,1.00,"16,459.37",0.00
135.00,"15,712,543.00",Chinweike,789.00,Germany,Male,39.00,7.00,"124,828.46",2.00,1.00,1.00,"124,411.08",0.00
136.00,"15,584,518.00",Arthur,589.00,Germany,Female,50.00,5.00,"144,895.05",2.00,1.00,1.00,"34,941.23",0.00
137.00,"15,802,381.00",Li,461.00,Germany,Female,34.00,5.00,"63,663.93",1.00,0.00,1.00,"167,784.28",0.00
138.00,"15,610,156.00",Ma,637.00,France,Male,40.00,2.00,"133,463.10",1.00,0.00,1.00,"93,165.34",0.00
139.00,"15,594,408.00",Chia,584.00,Spain,Female,48.00,2.00,"213,146.20",1.00,1.00,0.00,"75,161.25",1.00
140.00,"15,640,905.00",Vasin,579.00,Spain,Female,35.00,1.00,"129,490.36",2.00,0.00,1.00,"8,590.83",1.00
141.00,"15,698,932.00",Groves,756.00,Germany,Male,44.00,10.00,"137,452.09",1.00,1.00,0.00,"189,543.90",0.00
142.00,"15,724,944.00",Tien,663.00,France,Male,34.00,7.00,0.00,2.00,1.00,1.00,"180,427.24",0.00
143.00,"15,628,145.00",Forwood,682.00,France,Female,43.00,5.00,"125,851.93",1.00,1.00,1.00,"193,318.33",0.00
144.00,"15,713,483.00",Greeves,793.00,Spain,Male,52.00,2.00,0.00,1.00,1.00,0.00,"159,123.82",1.00
145.00,"15,612,350.00",Taylor,691.00,France,Female,31.00,5.00,"40,915.55",1.00,1.00,0.00,"126,213.84",1.00
146.00,"15,800,703.00",Madukwe,485.00,Spain,Female,21.00,5.00,"113,157.22",1.00,1.00,1.00,"54,141.50",0.00
147.00,"15,705,707.00",Bennelong,635.00,Spain,Female,29.00,8.00,"138,296.94",2.00,1.00,0.00,"141,075.51",0.00
148.00,"15,754,105.00",Olisanugo,650.00,France,Male,37.00,5.00,"106,967.18",1.00,0.00,0.00,"24,495.03",0.00
149.00,"15,703,264.00",Chukwufumnanya,735.00,France,Male,44.00,9.00,"120,681.63",1.00,1.00,0.00,"74,836.34",0.00
150.00,"15,794,413.00",Harris,416.00,France,Male,32.00,0.00,0.00,2.00,0.00,1.00,878.87,0.00
151.00,"15,650,237.00",Morgan,754.00,Spain,Female,32.00,7.00,0.00,2.00,1.00,0.00,"89,520.75",0.00
152.00,"15,759,618.00",Alexeeva,535.00,France,Female,48.00,9.00,0.00,1.00,1.00,0.00,"149,892.79",1.00
153.00,"15,811,589.00",Metcalfe,716.00,Spain,Male,42.00,8.00,0.00,2.00,1.00,0.00,"180,800.42",0.00
154.00,"15,689,044.00",Humphries,539.00,France,Male,37.00,2.00,"127,609.59",1.00,1.00,0.00,"98,646.22",0.00
155.00,"15,709,368.00",Milne,614.00,France,Female,43.00,6.00,0.00,2.00,1.00,1.00,"109,041.53",0.00
156.00,"15,679,145.00",Chou,706.00,Spain,Male,57.00,7.00,0.00,1.00,1.00,0.00,"17,941.16",1.00
157.00,"15,655,007.00",Li,758.00,France,Female,33.00,7.00,0.00,2.00,0.00,0.00,"82,996.47",0.00
158.00,"15,623,595.00",Clayton,586.00,Spain,Female,28.00,2.00,0.00,2.00,1.00,1.00,"92,067.35",0.00
159.00,"15,589,975.00",Maclean,646.00,France,Female,73.00,6.00,"97,259.25",1.00,0.00,1.00,"104,719.66",0.00
160.00,"15,804,017.00",Chigolum,631.00,Germany,Female,33.00,4.00,"123,246.70",1.00,0.00,0.00,"112,687.57",0.00
161.00,"15,692,132.00",Wilkinson,717.00,Spain,Female,22.00,6.00,"101,060.25",1.00,0.00,1.00,"84,699.56",0.00
162.00,"15,641,122.00",Wei,684.00,France,Male,30.00,2.00,0.00,2.00,1.00,0.00,"83,473.82",0.00
163.00,"15,630,910.00",Treacy,800.00,France,Female,49.00,7.00,"108,007.36",1.00,0.00,0.00,"47,125.11",0.00
164.00,"15,680,772.00",Hu,721.00,Spain,Female,36.00,2.00,0.00,2.00,1.00,1.00,"106,977.80",0.00
165.00,"15,658,929.00",Taverner,683.00,Spain,Male,29.00,0.00,"133,702.89",1.00,1.00,0.00,"55,582.54",1.00
166.00,"15,585,388.00",Sherman,660.00,Germany,Male,31.00,9.00,"125,189.75",2.00,1.00,1.00,"139,874.43",0.00
167.00,"15,724,623.00",Taubman,704.00,Germany,Female,24.00,7.00,"113,034.22",1.00,1.00,0.00,"162,503.48",1.00
168.00,"15,588,537.00",Robinson,615.00,Spain,Female,41.00,9.00,"109,013.23",1.00,1.00,0.00,"196,499.96",0.00
169.00,"15,574,692.00",Pinto,667.00,Spain,Female,39.00,2.00,0.00,2.00,1.00,0.00,"40,721.24",1.00
170.00,"15,611,325.00",Wood,682.00,Germany,Male,24.00,9.00,"57,929.81",2.00,0.00,0.00,"53,134.30",0.00
171.00,"15,587,562.00",Hawkins,484.00,France,Female,29.00,4.00,"130,114.39",1.00,1.00,0.00,"164,017.89",0.00
172.00,"15,613,172.00",Sun,628.00,Germany,Male,27.00,5.00,"95,826.49",2.00,1.00,0.00,"155,996.96",0.00
173.00,"15,651,022.00",Yost,480.00,Germany,Male,44.00,10.00,"129,608.57",1.00,1.00,0.00,"5,472.70",1.00
174.00,"15,586,310.00",Ting,578.00,France,Male,30.00,4.00,"169,462.09",1.00,1.00,0.00,"112,187.11",0.00
175.00,"15,625,524.00",Rowe,512.00,France,Male,40.00,5.00,0.00,2.00,1.00,1.00,"146,457.83",0.00
176.00,"15,755,209.00",Fu,484.00,Spain,Female,35.00,7.00,"133,868.21",1.00,1.00,1.00,"27,286.10",0.00
177.00,"15,645,248.00",Ho,510.00,France,Female,30.00,0.00,0.00,2.00,1.00,1.00,"130,553.47",0.00
178.00,"15,790,355.00",Okechukwu,606.00,Germany,Male,36.00,5.00,"190,479.48",2.00,0.00,0.00,"179,351.89",0.00
179.00,"15,762,615.00",Campbell,597.00,Spain,Female,40.00,8.00,"101,993.12",1.00,0.00,1.00,"94,774.12",0.00
180.00,"15,625,426.00",Ashbolt,754.00,Germany,Female,55.00,3.00,"161,608.81",1.00,1.00,0.00,"8,080.85",1.00
181.00,"15,716,334.00",Rozier,850.00,Spain,Female,45.00,2.00,"122,311.21",1.00,1.00,1.00,"19,482.50",0.00
182.00,"15,789,669.00",Hsia,510.00,France,Male,65.00,2.00,0.00,2.00,1.00,1.00,"48,071.61",0.00
183.00,"15,621,075.00",Ogbonnaya,778.00,Germany,Female,45.00,1.00,"162,150.42",2.00,1.00,0.00,"174,531.27",0.00
184.00,"15,810,845.00",T'ang,636.00,France,Male,42.00,2.00,0.00,2.00,1.00,1.00,"55,470.78",0.00
185.00,"15,719,377.00",Cocci,804.00,France,Female,50.00,4.00,0.00,1.00,1.00,1.00,"8,546.87",1.00
186.00,"15,654,506.00",Chang,514.00,France,Male,32.00,8.00,0.00,2.00,1.00,0.00,"95,857.18",0.00
187.00,"15,771,977.00",T'ao,730.00,France,Female,39.00,1.00,"99,010.67",1.00,1.00,0.00,"194,945.80",0.00
188.00,"15,708,710.00",Ford,525.00,Spain,Female,37.00,0.00,0.00,1.00,0.00,1.00,"131,521.72",0.00
189.00,"15,726,676.00",Marshall,616.00,Spain,Male,30.00,5.00,0.00,2.00,0.00,1.00,"196,108.51",0.00
190.00,"15,587,421.00",Tsai,687.00,Germany,Female,34.00,7.00,"111,388.18",2.00,1.00,0.00,"148,564.76",0.00
191.00,"15,726,931.00",Onwumelu,715.00,France,Female,41.00,8.00,"56,214.85",2.00,0.00,0.00,"92,982.61",1.00
192.00,"15,771,086.00",Graham,512.00,France,Female,36.00,3.00,"84,327.77",2.00,1.00,0.00,"17,675.36",0.00
193.00,"15,756,850.00",Golovanov,479.00,France,Male,40.00,1.00,0.00,2.00,0.00,0.00,"114,996.43",0.00
194.00,"15,702,741.00",Potts,601.00,France,Male,32.00,8.00,"93,012.89",1.00,1.00,0.00,"86,957.42",0.00
195.00,"15,679,200.00",Crawford,580.00,Spain,Male,29.00,9.00,"61,710.44",2.00,1.00,0.00,"128,077.80",0.00
196.00,"15,594,815.00",Aleshire,807.00,France,Male,35.00,3.00,"174,790.15",1.00,1.00,1.00,600.36,0.00
197.00,"15,635,905.00",Moran,616.00,Spain,Female,32.00,6.00,0.00,2.00,1.00,1.00,"43,001.46",0.00
198.00,"15,777,892.00",Samsonova,721.00,Germany,Male,37.00,3.00,"107,720.64",1.00,1.00,1.00,"158,591.12",0.00
199.00,"15,656,176.00",Jenkins,501.00,France,Male,57.00,10.00,0.00,2.00,1.00,1.00,"47,847.19",0.00
200.00,"15,811,127.00",Volkov,521.00,France,Male,35.00,6.00,"96,423.84",1.00,1.00,0.00,"10,488.44",0.00
201.00,"15,604,482.00",Chiemezie,850.00,Spain,Male,30.00,2.00,"141,040.01",1.00,1.00,1.00,"5,978.20",0.00
202.00,"15,622,911.00",Jude,759.00,France,Male,42.00,4.00,"105,420.18",1.00,0.00,1.00,"121,409.06",0.00
203.00,"15,600,974.00",He,516.00,Spain,Male,50.00,5.00,0.00,1.00,0.00,1.00,"146,145.93",1.00
204.00,"15,727,868.00",Onuora,711.00,France,Female,38.00,2.00,"129,022.06",2.00,1.00,1.00,"14,374.86",1.00
205.00,"15,627,801.00",Ginikanwa,512.00,Spain,Male,33.00,3.00,"176,666.62",1.00,1.00,0.00,"94,670.77",0.00
206.00,"15,773,039.00",Ku,550.00,France,Male,37.00,3.00,0.00,1.00,1.00,1.00,"179,670.31",0.00
207.00,"15,755,262.00",McDonald,608.00,Spain,Female,41.00,3.00,"89,763.84",1.00,0.00,0.00,"199,304.74",1.00
208.00,"15,679,531.00",Collins,618.00,France,Male,34.00,5.00,"134,954.53",1.00,1.00,1.00,"151,954.39",0.00
209.00,"15,684,181.00",Hackett,643.00,France,Male,45.00,5.00,0.00,1.00,1.00,0.00,"142,513.50",1.00
210.00,"15,612,087.00",Dike,671.00,France,Male,45.00,2.00,"106,376.85",1.00,0.00,1.00,"158,264.62",0.00
211.00,"15,752,047.00",Trevisano,689.00,Germany,Male,33.00,2.00,"161,814.64",2.00,1.00,0.00,"169,381.90",0.00
212.00,"15,624,592.00",Tan,603.00,France,Male,31.00,8.00,0.00,2.00,1.00,1.00,"169,915.02",0.00
